x,normal,simple,anneaux,hyper
1.00,0.72,0.37,0.54,0.34
2.00,1.18,0.41,0.75,0.46
4.00,2.06,0.46,0.87,0.55
8.00,2.22,1.00,1.11,0.64
16.00,2.24,2.22,1.34,0.79
32.00,3.22,4.10,2.08,0.86
,,,,
